Origin,Destination,Date,Price ($),Num Stops,Connection,Duration (h),Time
SEA,LIH,2019-12-14,363,1,(SFO),9.52,1:18p - 8:49p
SEA,LIH,2019-12-14,374,1,(LAX),17.63,5:50a - 9:28p
SEA,LIH,2019-12-14,377,1,(SAN),18.75,8:15p - 1:00p
SEA,LIH,2019-12-14,387,1,(SAN),23.25,3:45p - 1:00p
SEA,LIH,2019-12-14,390,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-14,390,0,(),6.08,10:05a - 2:10p
SEA,LIH,2019-12-14,393,1,(SFO),9.52,1:18p - 8:49p
SEA,LIH,2019-12-14,397,1,(LAX),30.12,5:21p - 9:28p
SEA,LIH,2019-12-14,397,1,(SAN),18.75,8:15p - 1:00p
SEA,LIH,2019-12-14,407,1,(LAX),13.05,10:25a - 9:28p
SEA,LIH,2019-12-14,409,1,(SAN),23.25,3:45p - 1:00p
SEA,LIH,2019-12-14,411,1,(SAN),27.08,11:55a - 1:00p
SEA,LIH,2019-12-14,412,1,(SJC),18.92,7:45p - 12:40p
SEA,LIH,2019-12-14,417,2,"(SFO, LAX)",13.58,9:35a - 9:10p
SEA,LIH,2019-12-14,417,2,"(SFO, LAX)",13.58,9:35a - 9:10p
SEA,LIH,2019-12-14,420,1,(SFO),17.17,9:30p - 12:40p
SEA,LIH,2019-12-14,423,1,(LAX),17.63,5:50a - 9:28p
SEA,LIH,2019-12-14,427,1,(SAN),25.08,1:55p - 1:00p
SEA,LIH,2019-12-14,433,1,(SFO),10.97,11:51a - 8:49p
SEA,LIH,2019-12-14,437,2,"(SFO, LAX)",13.58,9:35a - 9:10p
SEA,LIH,2019-12-15,321,1,(LAX),20.13,8:00p - 2:08p
SEA,LIH,2019-12-15,325,1,(SFO),15.17,10:30p - 11:40a
SEA,LIH,2019-12-15,332,1,(LAX),26.80,1:20p - 2:08p
SEA,LIH,2019-12-15,332,1,(LAX),27.47,8:00p - 9:28p
