Origin,Destination,Date,Price ($),Num Stops,Connection,Duration (h),Departure,Arrival,Carrier
SEA,LIH,2019-12-14,363,1,(SFO),9.52,1:18p,8:49p,United Airlines
SEA,LIH,2019-12-14,367,2,"(SFO, LAX)",13.58,9:35a,9:10p,United Airlines
SEA,LIH,2019-12-14,374,1,(LAX),17.63,5:50a,9:28p,American Airlines
SEA,LIH,2019-12-14,377,1,(SAN),18.75,8:15p,1:00p,Alaska Airlines
SEA,LIH,2019-12-14,387,1,(SAN),23.25,3:45p,1:00p,Alaska Airlines
SEA,LIH,2019-12-14,390,0,(),6.08,5:35p,9:40p,Alaska Airlines
SEA,LIH,2019-12-14,390,0,(),6.08,10:05a,2:10p,Alaska Airlines
SEA,LIH,2019-12-14,393,1,(SFO),9.52,1:18p,8:49p,United Airlines
SEA,LIH,2019-12-14,397,2,"(SFO, LAX)",13.58,9:35a,9:10p,United Airlines
SEA,LIH,2019-12-14,397,1,(LAX),30.12,5:21p,9:28p,American Airlines
SEA,LIH,2019-12-14,397,1,(SAN),18.75,8:15p,1:00p,Alaska Airlines
SEA,LIH,2019-12-14,407,1,(LAX),13.05,10:25a,9:28p,American Airlines
SEA,LIH,2019-12-14,409,1,(SAN),23.25,3:45p,1:00p,Alaska Airlines
SEA,LIH,2019-12-14,411,1,(SAN),27.08,11:55a,1:00p,Alaska Airlines
SEA,LIH,2019-12-14,412,1,(SJC),18.92,7:45p,12:40p,Alaska Airlines
SEA,LIH,2019-12-14,417,2,"(SFO, LAX)",13.58,9:35a,9:10p,United Airlines
SEA,LIH,2019-12-14,420,1,(SFO),17.17,9:30p,12:40p,Alaska Airlines
SEA,LIH,2019-12-14,423,1,(LAX),17.63,5:50a,9:28p,American Airlines
SEA,LIH,2019-12-14,427,1,(SAN),25.08,1:55p,1:00p,Alaska Airlines
SEA,LIH,2019-12-14,433,1,(LAX),9.92,1:15p,9:10p,United Airlines
SEA,LIH,2019-12-15,313,1,(SJC),17.92,7:45p,11:40a,Alaska Airlines
SEA,LIH,2019-12-15,321,1,(LAX),20.13,8:00p,2:08p,American Airlines
SEA,LIH,2019-12-15,322,1,(SJC),21.58,4:05p,11:40a,Alaska Airlines
